,CustomerID,Recency,Frequency,Monetary,Cluster
0,12346.0,326,1,77183.6,CantLoseThem
1,12347.0,2,7,4310.0,Loyal
2,12348.0,75,4,1797.24,CantLoseThem
3,12349.0,19,1,1757.55,NewCustomer
4,12350.0,310,1,334.4,AtRisk
5,12352.0,36,8,2506.04,CantLoseThem
6,12353.0,204,1,89.0,AtRisk
7,12354.0,232,1,1079.4,AtRisk
8,12355.0,214,1,459.4,AtRisk
9,12356.0,23,3,2811.43,CantLoseThem
10,12357.0,33,1,6207.67,CantLoseThem
11,12358.0,2,2,1168.06,NewCustomer
12,12359.0,58,4,6372.58,CantLoseThem
13,12360.0,52,3,2662.06,CantLoseThem
14,12361.0,287,1,189.9,AtRisk
15,12362.0,3,10,5226.23,Loyal
16,12363.0,110,2,552.0,AtRisk
17,12364.0,8,4,1313.1,NewCustomer
18,12365.0,291,2,641.38,AtRisk
19,12367.0,4,1,168.9,NewCustomer
20,12370.0,51,4,3545.69,CantLoseThem
21,12371.0,45,2,1887.96,CantLoseThem
22,12372.0,72,3,1298.04,CantLoseThem
23,12373.0,311,1,364.6,AtRisk
24,12374.0,25,1,742.9300000000001,NewCustomer
25,12375.0,11,2,457.5,NewCustomer
26,12377.0,315,2,1628.12,CantLoseThem
27,12378.0,130,1,4008.62,CantLoseThem
28,12379.0,82,2,852.24,CantLoseThem
29,12380.0,22,4,2724.81,CantLoseThem
30,12381.0,5,5,1845.31,Loyal
31,12383.0,185,5,1850.56,CantLoseThem
32,12384.0,29,2,585.27,NewCustomer
33,12386.0,338,2,401.9,AtRisk
34,12388.0,16,6,2780.66,Loyal
35,12390.0,80,1,549.84,AtRisk
36,12391.0,22,1,460.89,NewCustomer
37,12393.0,72,4,1582.6,CantLoseThem
38,12394.0,64,2,1272.48,CantLoseThem
39,12395.0,19,12,3018.63,Loyal
40,12397.0,36,2,2409.9,CantLoseThem
41,12398.0,46,1,1635.66,CantLoseThem
42,12399.0,119,4,1108.65,CantLoseThem
43,12401.0,303,1,84.3,AtRisk
44,12402.0,323,1,225.6,AtRisk
45,12403.0,50,1,427.7,AtRisk
46,12405.0,149,1,1710.39,CantLoseThem
47,12406.0,22,2,3415.3,CantLoseThem
48,12407.0,50,5,1708.12,CantLoseThem
49,12408.0,33,5,2888.55,CantLoseThem
50,12409.0,79,3,11072.67,CantLoseThem
51,12410.0,309,2,693.3299999999999,AtRisk
52,12412.0,75,3,1226.88,CantLoseThem
53,12413.0,67,3,758.1,CantLoseThem
54,12414.0,217,3,562.41,AtRisk
55,12415.0,24,21,124914.53,Loyal
56,12417.0,3,9,3649.1,Loyal
57,12418.0,113,1,668.58,AtRisk
58,12420.0,64,1,600.39,AtRisk
59,12421.0,16,4,807.04,NewCustomer
60,12422.0,96,3,803.5600000000001,CantLoseThem
61,12423.0,1,8,1859.31,Loyal
62,12424.0,163,2,1760.96,CantLoseThem
63,12425.0,78,1,777.2,AtRisk
64,12426.0,195,1,582.73,AtRisk
65,12427.0,22,3,825.8,NewCustomer
66,12428.0,26,9,7956.46,Loyal
67,12429.0,9,4,3750.4,Loyal
68,12430.0,43,1,256.4,AtRisk
69,12431.0,36,15,6487.45,Loyal
70,12432.0,43,5,5059.32,CantLoseThem
71,12433.0,1,7,13375.87,Loyal
72,12434.0,85,2,806.14,CantLoseThem
73,12435.0,80,2,7829.89,CantLoseThem
74,12436.0,100,1,509.01,AtRisk
75,12437.0,2,18,4951.41,Loyal
76,12438.0,14,2,2906.85,CantLoseThem
77,12441.0,367,1,173.55,AtRisk
78,12442.0,3,1,172.06,NewCustomer
79,12444.0,21,5,5005.46,Loyal
80,12445.0,22,1,133.4,NewCustomer
81,12446.0,58,1,1002.31,AtRisk
82,12447.0,243,1,476.49,AtRisk
83,12448.0,44,1,449.45,AtRisk
84,12449.0,22,4,4067.29,CantLoseThem
85,12450.0,156,2,197.88,AtRisk
86,12451.0,11,5,9035.52,Loyal
87,12452.0,17,2,430.57,NewCustomer
88,12453.0,134,1,707.09,AtRisk
89,12454.0,56,1,3528.34,CantLoseThem
90,12455.0,73,6,2466.86,CantLoseThem
91,12456.0,44,3,3181.04,CantLoseThem
92,12457.0,66,7,2363.23,CantLoseThem
93,12458.0,71,2,947.4,CantLoseThem
94,12461.0,94,2,826.88,CantLoseThem
95,12462.0,19,2,1189.59,NewCustomer
96,12463.0,53,4,1344.78,CantLoseThem
97,12464.0,10,8,1212.05,Loyal
98,12465.0,17,2,742.1899999999999,NewCustomer
99,12468.0,188,2,729.5400000000001,AtRisk
100,12471.0,2,30,19824.05,Loyal
101,12472.0,32,7,6572.11,Loyal
102,12473.0,29,5,3938.55,CantLoseThem
103,12474.0,17,18,7375.79,Loyal
104,12475.0,54,1,723.38,AtRisk
105,12476.0,16,11,6816.42,Loyal
106,12477.0,23,6,13219.74,Loyal
107,12478.0,4,1,680.99,NewCustomer
108,12479.0,11,1,527.2,NewCustomer
109,12480.0,28,4,3281.63,CantLoseThem
110,12481.0,23,10,5596.32,Loyal
111,12483.0,17,8,2484.98,Loyal
112,12484.0,33,6,4541.72,CantLoseThem
113,12488.0,10,3,1298.66,NewCustomer
114,12489.0,336,1,334.93,AtRisk
115,12490.0,5,10,5417.93,Loyal
116,12491.0,39,1,460.4,NewCustomer
117,12492.0,63,2,263.21000000000004,AtRisk
118,12493.0,166,2,433.74,AtRisk
119,12494.0,16,7,1246.1,CantLoseThem
120,12497.0,82,1,1043.1,AtRisk
121,12498.0,21,3,403.7000000000001,NewCustomer
122,12500.0,23,11,4257.82,Loyal
123,12501.0,337,1,2169.39,AtRisk
124,12502.0,96,5,3723.87,CantLoseThem
125,12504.0,18,2,482.05,NewCustomer
126,12506.0,233,1,73.5,AtRisk
127,12507.0,134,3,1304.81,CantLoseThem
128,12508.0,26,2,398.27,NewCustomer
129,12509.0,284,1,176.5,AtRisk
130,12510.0,143,2,982.57,CantLoseThem
131,12512.0,66,2,138.03,AtRisk
132,12513.0,113,1,612.29,AtRisk
133,12514.0,267,1,1017.68,AtRisk
134,12515.0,353,1,383.7,AtRisk
135,12516.0,78,2,1312.06,CantLoseThem
136,12517.0,28,5,2502.84,CantLoseThem
137,12518.0,1,5,2056.89,Loyal
138,12519.0,64,1,340.84,AtRisk
139,12520.0,79,5,2634.26,CantLoseThem
140,12521.0,143,1,599.68,AtRisk
141,12522.0,39,2,192.72,NewCustomer
142,12523.0,19,11,1789.77,Loyal
143,12524.0,9,8,4485.72,Loyal
144,12526.0,1,3,1316.66,NewCustomer
145,12527.0,82,3,348.71000000000004,AtRisk
146,12528.0,9,6,1933.48,Loyal
147,12530.0,60,4,1662.28,CantLoseThem
148,12531.0,15,1,125.22,NewCustomer
149,12532.0,30,1,349.83000000000004,NewCustomer
150,12534.0,131,1,1089.18,AtRisk
151,12535.0,92,2,716.35,CantLoseThem
152,12536.0,43,3,12601.830000000002,CantLoseThem
153,12538.0,29,1,363.95,NewCustomer
154,12539.0,22,4,5568.35,CantLoseThem
155,12540.0,20,17,13400.24,Loyal
156,12541.0,30,3,981.18,CantLoseThem
157,12544.0,36,1,372.7,NewCustomer
158,12545.0,75,2,1000.39,CantLoseThem
159,12546.0,47,2,1161.5,CantLoseThem
160,12547.0,198,2,207.8,AtRisk
161,12548.0,166,1,95.2,AtRisk
162,12550.0,79,1,964.83,AtRisk
163,12551.0,358,1,168.0,AtRisk
164,12552.0,39,2,437.82,NewCustomer
165,12553.0,8,10,3692.28,Loyal
166,12556.0,50,2,603.71,NewCustomer
167,12557.0,16,5,11990.96,Loyal
168,12558.0,8,1,269.96,NewCustomer
169,12559.0,311,2,561.71,AtRisk
170,12560.0,5,3,2134.01,NewCustomer
171,12561.0,303,1,238.85,AtRisk
172,12562.0,8,7,3781.74,Loyal
173,12564.0,261,1,456.9,AtRisk
174,12565.0,289,1,145.92,AtRisk
175,12566.0,86,1,351.65,AtRisk
176,12567.0,23,10,9401.28,Loyal
177,12569.0,2,32,4124.69,Loyal
178,12571.0,40,2,519.61,NewCustomer
179,12572.0,9,2,1020.42,NewCustomer
180,12573.0,227,1,160.54000000000002,AtRisk
181,12574.0,316,1,218.45,AtRisk
182,12576.0,36,5,1315.83,CantLoseThem
183,12577.0,35,3,657.8,CantLoseThem
184,12578.0,21,2,2794.51,CantLoseThem
185,12579.0,78,1,440.42,AtRisk
186,12580.0,247,1,415.7,AtRisk
187,12581.0,40,1,197.71,AtRisk
188,12582.0,239,2,511.36,AtRisk
189,12583.0,3,15,7281.38,Loyal
190,12584.0,4,9,2338.15,Loyal
191,12585.0,234,2,2040.1,CantLoseThem
192,12586.0,17,1,196.94000000000003,NewCustomer
